sample	category	mapped	unique	total	unique/total	gfp	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
FACS_GBM63_T_25_S99	GBM63_T	2612166	2436022	2743506	0.887922972	24	241136489	238193285	3813924	143685089	75915967	12155360	2622945	0	0	0	418644	419379	5527	0.499561	0.500439	0.016012	0.603229	0.318716	0.051031	0.011012	0.921945	0.910692	0	0.871	0.218981	0.466155	0.002451
FACS_GBM63_T_26_S107	GBM63_T	2049990	1890604	2136820	0.884774572	78	187164096	185070163	5066429	111785461	51957713	13399976	2860584	0	0	0	310865	309473	4987	0.501122	0.498878	0.027376	0.604017	0.280746	0.072405	0.015457	0.884763	0.874864	0	0.734911	0.41627	0.472413	0.306033
FACS_GBM63_T_27_S115	GBM63_T	1852	1704	562698	0.003028267	0	169621	168071	4999	108683	40068	10478	3843	0	0	0	290	287	6	0.5026	0.4974	0.029743	0.646649	0.238399	0.062343	0.022865	0.885049	0.876961	0	0.913962	0.21213	0.471855	0.059524
FACS_GBM63_T_28_S123	GBM63_T	5146	5068	10620	0.477212806	0	497277	487147	1616	179325	288892	6715	10599	0	0	0	1104	1238	0	0.471392	0.528608	0.003317	0.368113	0.593028	0.013784	0.021757	0.961141	0.941562	0	0.907978	0.632575	0	0
FACS_GBM63_T_29_S131	GBM63_T	77916	73382	80562	0.910876095	108	6973230	6918124	126008	5097816	1497989	148412	47899	0	0	0	13184	13035	177	0.502841	0.497159	0.018214	0.736878	0.216531	0.021453	0.006924	0.953409	0.945875	0	1.084067	0.429074	0.293077	0
FACS_GBM63_T_2_S105	GBM63_T	234	208	40298	0.005161546	0	20080	19738	202	11130	3935	3477	994	0	0	0	24	35	0	0.40678	0.59322	0.010234	0.563887	0.199362	0.176158	0.05036	0.763249	0.750249	0	0	0	0	0
FACS_GBM63_T_30_S139	GBM63_T	5754284	5545599	5890658	0.941422673	1476	555278097	551654541	753943	407289488	127526457	12486751	3597902	0	0	0	1016032	1014859	11209	0.500289	0.499711	0.001367	0.738305	0.231171	0.022635	0.006522	0.969476	0.96315	0	0.581843	0.522908	0.44376	0.632483
FACS_GBM63_T_31_S147	GBM63_T	4720	4076	109712	0.037151816	2	400597	394668	3436	101070	46131	185433	58598	0	0	0	311	299	3	0.509836	0.490164	0.008706	0.256089	0.116886	0.469846	0.148474	0.372974	0.367454	0	0.838295	0.198826	0.369248	0.174029
FACS_GBM63_T_32_S155	GBM63_T	2286175	2054393	2393094	0.858467323	24402	205843332	204467752	7433311	152331514	37332062	4159004	3211861	0	0	0	362252	362785	6494	0.499632	0.500368	0.036354	0.745015	0.182582	0.020341	0.015708	0.927597	0.921398	0	0.561867	0.581033	0.521625	0.663643
FACS_GBM63_T_33_S163	GBM63_T	2224	1688	348668	0.004841282	2	163778	160522	1604	32767	12662	93804	19685	0	0	0	107	85	0	0.557292	0.442708	0.009992	0.204128	0.07888	0.584368	0.122631	0.283008	0.277382	0	1.141486	0.373148	0	0
FACS_GBM63_T_34_S171	GBM63_T	19372	19076	194864	0.097893916	0	1838847	1795464	5876	100317	1307873	371016	10382	0	0	0	3583	3542	4	0.502877	0.497123	0.003273	0.055872	0.728432	0.206641	0.005782	0.784304	0.765801	0	0.682292	0.508177	0.427014	0.636364
FACS_GBM63_T_35_S179	GBM63_T	107964	103980	280876	0.370198949	0	10182215	10033167	14885	4480511	673076	4585344	279351	0	0	0	12390	12405	152	0.499698	0.500302	0.001484	0.44657	0.067085	0.457019	0.027843	0.513655	0.506136	0	1.183118	0.276178	0.239623	0
FACS_GBM63_T_36_S187	GBM63_T	1258	1174	1184252	0.000991343	0	115251	113741	202	7113	3326	11932	91168	0	0	0	24	19	1	0.55814	0.44186	0.001776	0.062537	0.029242	0.104905	0.80154	0.091779	0.090576	0	0	0	0	0
FACS_GBM63_T_37_S100	GBM63_T	4879904	3972210	5178526	0.767054177	2566	397822739	393170010	13530335	226144243	94421413	51505289	7568730	0	0	0	612074	604647	10109	0.503052	0.496948	0.034413	0.575182	0.240154	0.131	0.019251	0.815336	0.8058	0	0.70021	0.452455	0.521092	0.305825
FACS_GBM63_T_38_S108	GBM63_T	433618	389248	1142950	0.340564329	2	39043162	38818945	4571	30235586	7260814	479671	838303	0	0	0	87391	85941	446	0.504183	0.495817	0.000118	0.778887	0.187043	0.012357	0.021595	0.96593	0.960383	0	1.095762	0.037725	0.275166	0
FACS_GBM63_T_39_S116	GBM63_T	9119295	8529934	9412276	0.906256255	27770	857383950	852070767	32249245	591710004	191151832	28368599	8591087	0	0	0	1539977	1536938	26286	0.500494	0.499506	0.037848	0.694438	0.224338	0.033294	0.010083	0.918776	0.913082	0	0.45044	0.64828	0.572554	0.80357
FACS_GBM63_T_3_S113	GBM63_T	1990	1884	4768	0.395134228	0	164746	162229	1010	19204	76887	63505	1623	0	0	0	229	280	0	0.449902	0.550098	0.006226	0.118376	0.473941	0.391453	0.010004	0.592317	0.583268	0	1.477982	0.427778	3.315	0.8
FACS_GBM63_T_40_S124	GBM63_T	21934	15344	733384	0.020922191	0	1529047	1502760	17143	395072	377121	274135	439289	0	0	0	1383	1485	14	0.482218	0.517782	0.011408	0.262898	0.250952	0.182421	0.292321	0.51385	0.505016	0	0.794069	0.49713	0.487778	0.719457
FACS_GBM63_T_41_S132	GBM63_T	129095	127698	507926	0.251410639	8	12759720	12494512	29874	9039599	2401072	499031	524936	0	0	0	26947	28234	74	0.488338	0.511662	0.002391	0.723486	0.19217	0.03994	0.042013	0.915656	0.896624	0	0.932322	0.32389	0.563969	0.087977
FACS_GBM63_T_42_S140	GBM63_T	85360	82738	531316	0.155722771	4	8248891	8120652	24402	3651519	1447638	2198009	799084	0	0	0	7393	7574	1276	0.493953	0.506047	0.003005	0.449658	0.178266	0.270669	0.098401	0.627925	0.618163	0	0.86124	0.51182	0.398209	0.281334
FACS_GBM63_T_43_S148	GBM63_T	24228	23158	583618	0.039680065	4	2256967	2205645	19925	227666	425379	223353	1309322	0	0	0	610	589	3	0.508757	0.491243	0.009034	0.10322	0.192859	0.101264	0.593623	0.296079	0.289346	0	0.852013	0.414613	0.569554	0.233831
FACS_GBM63_T_44_S156	GBM63_T	13616	13032	132598	0.098282025	12	1292106	1249168	17278	161395	58041	875497	136957	0	0	0	412	418	14	0.496386	0.503614	0.013832	0.129202	0.046464	0.700864	0.109639	0.175666	0.169828	0	0.822488	0.460576	0.802333	0
FACS_GBM63_T_45_S164	GBM63_T	383232	372500	832494	0.447450672	4	37476429	37119400	13694	22986595	8850274	1384763	3884074	0	0	0	68964	68324	5137	0.502331	0.497669	0.000369	0.619261	0.238427	0.037306	0.104637	0.857688	0.849517	0	0.808027	0.305973	0.336323	0.312618
FACS_GBM63_T_46_S172	GBM63_T	6202	5630	564268	0.009977528	2	563398	558310	19530	317267	102170	90326	29017	0	0	0	800	824	21	0.492611	0.507389	0.034981	0.568263	0.182999	0.161785	0.051973	0.751262	0.744477	0	0.822142	0.492977	0.629954	0.39521
FACS_GBM63_T_47_S180	GBM63_T	13657378	13111905	13902962	0.943101549	11376	1319847403	1310036037	8834709	981569051	306995911	7374108	5262258	0	0	0	2418743	2422436	32617	0.499619	0.500381	0.006744	0.749269	0.234342	0.005629	0.004017	0.98361	0.976298	0	0.516023	0.526758	0.54632	0.606885
FACS_GBM63_T_48_S188	GBM63_T	418	378	1144	0.33041958	0	37761	37391	2424	25192	5948	2705	1122	0	0	0	62	61	2	0.504065	0.495935	0.064828	0.673745	0.159076	0.072344	0.030007	0.832821	0.82466	0	0.802749	0.297722	0.823596	0.218978
FACS_GBM63_T_49_S101	GBM63_T	1844955	1689731	1973258	0.856315292	0	166977644	164810051	5156845	60887149	45533870	46961463	6270724	0	0	0	202484	202966	2291	0.499406	0.500594	0.03129	0.369438	0.276281	0.284943	0.038048	0.645719	0.637337	0	1.644612	0	0.586291	0
FACS_GBM63_T_4_S121	GBM63_T	9190	9030	39160	0.230592441	0	802905	790594	1339	423500	287199	72555	6001	0	0	0	1991	1954	8	0.504689	0.495311	0.001694	0.535673	0.36327	0.091773	0.00759	0.898943	0.88516	0	1.003596	0.11229	0.383657	0.000307
FACS_GBM63_T_50_S109	GBM63_T	3225	2954	63022	0.046872521	0	287326	283488	22137	86850	45175	81984	47342	0	0	0	287	314	11	0.477537	0.522463	0.078088	0.306362	0.159354	0.289197	0.166998	0.465716	0.459495	0	1.124069	0.056652	0.155261	0
FACS_GBM63_T_51_S117	GBM63_T	6427	6012	296106	0.02030354	4	601840	595014	5914	324755	94042	140714	29589	0	0	0	836	865	19	0.491476	0.508524	0.009939	0.545794	0.15805	0.236489	0.049728	0.703844	0.695861	0	0.837146	0.501648	0.60098	0.168087
FACS_GBM63_T_52_S125	GBM63_T	4437898	4020263	4521008	0.889240408	5580	402815661	400361172	42582539	278331351	70737931	6851389	1857962	0	0	0	687624	693822	12459	0.497757	0.502243	0.10636	0.695201	0.176685	0.017113	0.004641	0.871886	0.866573	0	0.491772	0.591014	0.550543	0.774691
FACS_GBM63_T_53_S133	GBM63_T	5107953	4909261	5190442	0.945827157	12	487622449	484460282	7618010	336864357	125884836	10222750	3870329	0	0	0	906892	915825	10183	0.49755	0.50245	0.015725	0.695339	0.259846	0.021101	0.007989	0.955185	0.948991	0	0.681662	0.473924	0.43562	0.4328
FACS_GBM63_T_54_S141	GBM63_T	10172042	9779508	10313998	0.948178194	1474	982527806	975930543	12753205	705090284	221556896	29533980	6996178	0	0	0	1741483	1748057	28639	0.499058	0.500942	0.013068	0.72248	0.227021	0.030262	0.007169	0.949501	0.943126	0	0.53254	0.580766	0.476689	0.711597
FACS_GBM63_T_55_S149	GBM63_T	46406	35100	2419952	0.01450442	10	3458668	3388101	8967	195929	153918	2133746	895541	0	0	0	929	690	3	0.573811	0.426189	0.002647	0.057829	0.045429	0.629776	0.264319	0.103258	0.101151	0	0.943456	0.235513	0.465931	0
FACS_GBM63_T_56_S157	GBM63_T	3232	2570	302862	0.008485713	6	255678	253202	10272	162868	49706	15085	15271	0	0	0	400	407	7	0.495663	0.504337	0.040568	0.643233	0.19631	0.059577	0.060312	0.839543	0.831413	0	0.896034	0.421395	0.459485	0
FACS_GBM63_T_57_S165	GBM63_T	9909	4212	861490	0.004889204	0	418946	395992	3361	145613	50168	144350	52500	0	0	0	383	435	6	0.468215	0.531785	0.008488	0.367717	0.126689	0.364528	0.132578	0.494406	0.467318	0	0.966122	0.769625	0.331325	0
FACS_GBM63_T_58_S173	GBM63_T	223724	215138	1720408	0.125050569	0	21479540	21081288	17079	4237752	5224524	10759575	842358	0	0	0	18431	14223	70	0.564433	0.435567	0.00081	0.20102	0.247828	0.510385	0.039958	0.448847	0.440525	0	0.91022	0.301439	0.678837	0
FACS_GBM63_T_59_S181	GBM63_T	261947	253544	754354	0.336107451	4	25381461	24995331	13794	19095673	3430876	1168347	1286641	0	0	0	54362	55693	643	0.493953	0.506047	0.000552	0.76397	0.137261	0.046743	0.051475	0.90123	0.88752	0	1.08506	0.346174	0.442501	0.003116
FACS_GBM63_T_5_S129	GBM63_T	1028	858	2928	0.293032787	0	85994	85148	2975	63580	16945	1207	441	0	0	0	153	152	1	0.501639	0.498361	0.034939	0.7467	0.199006	0.014175	0.005179	0.945706	0.936403	0	0.927955	0	0.761952	0
FACS_GBM63_T_60_S189	GBM63_T	388	350	1390	0.251798561	0	35154	34876	606	13050	3971	11858	5391	0	0	0	33	35	0	0.485294	0.514706	0.017376	0.374183	0.113861	0.340005	0.154576	0.488043	0.484184	0	0	0	0	0
FACS_GBM63_T_61_S102	GBM63_T	4880436	3551858	5149770	0.689711968	140	356756843	353375494	16940712	198043100	88218922	43128661	7044099	0	0	0	547044	546556	8594	0.500223	0.499777	0.04794	0.560432	0.249646	0.122048	0.019934	0.810079	0.802401	0	0.623125	0.445591	0.566265	0.359427
FACS_GBM63_T_62_S110	GBM63_T	71044	60460	1584434	0.038158737	6	5946353	5714857	38249	170638	412893	3142946	1950131	0	0	0	1240	1205	9	0.507157	0.492843	0.006693	0.029859	0.072249	0.549961	0.341239	0.102108	0.098133	0	1.468999	0.33396	0.134563	0
FACS_GBM63_T_63_S118	GBM63_T	4644	4102	7462	0.549718574	8	411782	408438	26757	233109	102450	28807	17315	0	0	0	628	633	12	0.498017	0.501983	0.065511	0.570733	0.250834	0.07053	0.042393	0.821567	0.814895	0	0.883008	0.459646	0.521081	0.199972
FACS_GBM63_T_64_S126	GBM63_T	3281	2452	286534	0.008557449	4	244312	241434	13296	122789	45514	27719	32116	0	0	0	326	329	3	0.49771	0.50229	0.055071	0.508582	0.188515	0.11481	0.133022	0.697097	0.688886	0	0.867976	0.393295	0.436886	0.113717
FACS_GBM63_T_65_S134	GBM63_T	94785	63012	3112712	0.02024344	18	6288104	6132862	28498	318381	190279	3476684	2119020	0	0	0	905	821	65	0.524334	0.475666	0.004647	0.051914	0.031026	0.566894	0.345519	0.08294	0.080892	0	0.927816	0.258791	0.363294	0
FACS_GBM63_T_66_S142	GBM63_T	11024659	10647167	11335838	0.939248338	12	1069261348	1063209880	15855630	508883983	490131428	32501626	15837213	0	0	0	1941388	1965758	19594	0.496881	0.503119	0.014913	0.47863	0.460992	0.030569	0.014896	0.939622	0.934304	0	1.405492	0	0.411604	0
FACS_GBM63_T_67_S150	GBM63_T	19110	18206	148146	0.122892282	8	1824381	1784601	24692	485074	81884	747578	445373	0	0	0	1275	1314	16	0.492468	0.507532	0.013836	0.271811	0.045884	0.418905	0.249564	0.317695	0.310767	0	0.876191	0.249546	0.387392	0.038151
FACS_GBM63_T_68_S158	GBM63_T	54212	52738	57348	0.919613587	8	5269708	5220195	24139	4817280	320950	18394	39432	0	0	0	12675	12927	14	0.495079	0.504921	0.004624	0.922816	0.061482	0.003524	0.007554	0.984298	0.97505	0	0.895121	0.207357	0.438434	0
FACS_GBM63_T_69_S166	GBM63_T	851892	803286	1859998	0.431874658	1162	80708200	80291803	22045881	49649249	7317361	1035624	243688	0	0	0	122695	129488	4153	0.486532	0.513468	0.274572	0.61836	0.091135	0.012898	0.003035	0.709495	0.705834	0	0.768614	0.427578	0.402999	0.05855
FACS_GBM63_T_6_S137	GBM63_T	1462	1368	18242	0.074991777	0	137417	136412	2786	98328	31274	2603	1421	0	0	0	211	266	4	0.442348	0.557652	0.020423	0.720816	0.229261	0.019082	0.010417	0.950078	0.943129	0	0.847756	0.363129	0.185543	0.002874
FACS_GBM63_T_70_S174	GBM63_T	6212	5614	105490	0.053218315	14	552625	533823	31590	234390	84573	172456	10814	0	0	0	639	620	16	0.507546	0.492454	0.059177	0.439078	0.158429	0.323058	0.020258	0.597507	0.577178	0	0.832704	0.34049	0.645242	0.261236
FACS_GBM63_T_71_S182	GBM63_T	22614428	18588473	23221176	0.800496624	147160	1870758711	1858849579	180446022	1300084908	302001678	51089404	25227567	0	0	0	3053302	3066473	44139	0.498924	0.501076	0.097074	0.699403	0.162467	0.027484	0.013572	0.86187	0.856383	0	0.482301	0.571037	0.581697	0.704562
FACS_GBM63_T_72_S190	GBM63_T	558	504	2852	0.176718093	0	50289	49930	2531	13720	8796	14856	10027	0	0	0	46	43	0	0.516854	0.483146	0.050691	0.274785	0.176167	0.297537	0.200821	0.450951	0.447732	0	1.999425	0	0.21595	0
FACS_GBM63_T_73_S103	GBM63_T	196690	47124	214698	0.219489702	936	4447128	4336463	438414	1310304	1180723	1188774	218248	0	0	0	4327	4274	80	0.503081	0.496919	0.101099	0.30216	0.272278	0.274134	0.050329	0.574438	0.560143	0	1.412914	0.111016	0.136573	0
FACS_GBM63_T_74_S111	GBM63_T	6542	6362	127916	0.049735764	2	624531	610323	5988	146849	52110	397568	7808	0	0	0	389	427	4	0.476716	0.523284	0.009811	0.240609	0.085381	0.651406	0.012793	0.32599	0.318573	0	0.853879	0.323555	0.565791	0
FACS_GBM63_T_75_S119	GBM63_T	7966	7540	68014	0.110859529	2	757228	751724	36469	492364	169194	34145	19552	0	0	0	1274	1300	17	0.494949	0.505051	0.048514	0.65498	0.225075	0.045422	0.02601	0.880054	0.873658	0	0.840731	0.403298	0.566879	0.191393
FACS_GBM63_T_76_S127	GBM63_T	4374	3978	208024	0.019122794	4	397858	393872	15463	232630	67010	46358	32411	0	0	0	541	558	7	0.492266	0.507734	0.039259	0.590623	0.170131	0.117698	0.082288	0.760755	0.753133	0	0.80131	0.488418	0.449379	0.230463
FACS_GBM63_T_77_S135	GBM63_T	12342269	11648620	12684118	0.918362633	18368	1173124469	1165614422	59698836	849847320	228657164	21326559	6084543	0	0	0	2066736	2058384	35829	0.501012	0.498988	0.051217	0.729098	0.196169	0.018296	0.00522	0.925267	0.919344	0	0.466622	0.596212	0.580432	0.728076
FACS_GBM63_T_78_S143	GBM63_T	16760617	16252457	17189430	0.945491328	372	1636802318	1626208820	57104861	1061120062	453880451	39664697	14438749	0	0	0	2905983	2909181	43308	0.499725	0.500275	0.035115	0.652512	0.279103	0.024391	0.008879	0.931615	0.925586	0	0.528548	0.496872	0.532917	0.529696
FACS_GBM63_T_79_S151	GBM63_T	200277	197704	841350	0.234984252	8	19762572	19622610	26590	5336584	9182869	4810982	265585	0	0	0	1265	1281	19	0.496858	0.503142	0.001355	0.271961	0.467974	0.245175	0.013535	0.739935	0.734695	0	0.862401	0.370866	0.374911	0.282885
FACS_GBM63_T_7_S145	GBM63_T	704	642	40048	0.016030763	2	64635	64257	2014	45000	13978	1851	1414	0	0	0	122	101	0	0.547085	0.452915	0.031343	0.700313	0.217533	0.028806	0.022005	0.917846	0.912478	0	0.8929	0.422122	0.430503	0
FACS_GBM63_T_80_S159	GBM63_T	11414046	11039705	11586160	0.952835538	1570	1109902965	1102893743	16035551	813922095	249582885	18262041	5091171	0	0	0	2036943	2052064	24736	0.498151	0.501849	0.01454	0.737988	0.226298	0.016558	0.004616	0.964286	0.958196	0	0.51365	0.534346	0.497508	0.664483
FACS_GBM63_T_81_S167	GBM63_T	43124	42940	254730	0.168570643	0	4215119	4058090	12177	152938	3164830	36040	692105	0	0	0	8341	8852	7	0.485139	0.514861	0.003001	0.037687	0.779882	0.008881	0.170549	0.817569	0.787111	0	0.80465	0.407182	0.37721	0.324796
FACS_GBM63_T_82_S175	GBM63_T	14884835	13966367	15138266	0.922586973	8786	1405950256	1397726971	60041745	1014690256	286885972	27843745	8265253	0	0	0	2509328	2512257	49616	0.499708	0.500292	0.042957	0.725957	0.205252	0.019921	0.005913	0.931209	0.925763	0	0.475367	0.564268	0.562537	0.699249
FACS_GBM63_T_83_S183	GBM63_T	332918	310812	906550	0.34285147	216	30988591	30716718	705274	22226191	5914053	1308339	562861	0	0	0	52944	53140	1028	0.499076	0.500924	0.022961	0.723586	0.192535	0.042594	0.018324	0.916121	0.908084	0	0.681971	0.551888	0.463326	0.552747
FACS_GBM63_T_84_S191	GBM63_T	624	588	1422	0.41350211	0	57599	57092	1378	26441	11781	10013	7479	0	0	0	70	82	1	0.460526	0.539474	0.024136	0.46313	0.206351	0.175384	0.130999	0.669481	0.663588	0	1.055619	0.450818	0.035917	0
FACS_GBM63_T_85_S104	GBM63_T	7287	6446	326180	0.019762095	16	638880	629222	18141	220599	84814	154638	151030	0	0	0	537	600	9	0.472296	0.527704	0.028831	0.35059	0.134792	0.245761	0.240027	0.485382	0.478044	0	0.919444	0.502323	0.553378	0.236364
FACS_GBM63_T_86_S112	GBM63_T	2016	1876	3352	0.559665871	4	181125	178751	7878	106429	36781	9657	18006	0	0	0	291	273	8	0.515957	0.484043	0.044072	0.595404	0.205767	0.054025	0.100732	0.80117	0.790669	0	0.869505	0.13432	0.440021	0.082188
FACS_GBM63_T_87_S120	GBM63_T	17856574	16893470	18206814	0.927865249	10078	1699167135	1686718077	51082705	1120200536	370217371	114097240	31120225	0	0	0	2829456	2852438	51226	0.497978	0.502022	0.030285	0.66413	0.21949	0.067645	0.01845	0.88362	0.877146	0	0.537394	0.547435	0.503738	0.730792
FACS_GBM63_T_88_S128	GBM63_T	13754	12208	324034	0.037675059	4	1220653	1198857	13382	552029	275106	134684	223656	0	0	0	1429	1586	3	0.473964	0.526036	0.011162	0.460463	0.229474	0.112344	0.186558	0.689936	0.677617	0	0.856339	0.237553	0.425282	0.217742
FACS_GBM63_T_89_S136	GBM63_T	6374	5824	131652	0.044237839	16	583751	578169	23849	334111	122417	68796	28996	0	0	0	855	890	24	0.489971	0.510029	0.041249	0.577878	0.211732	0.118989	0.050151	0.78961	0.782059	0	0.787854	0.473591	0.467801	0.285714
FACS_GBM63_T_8_S153	GBM63_T	1604	1524	9656	0.157829329	4	142704	140335	2336	46700	20476	38457	32366	0	0	0	131	123	20	0.515748	0.484252	0.016646	0.332775	0.145908	0.274037	0.230634	0.478683	0.470737	0	0.951584	0.685107	0.377595	0.086466
FACS_GBM63_T_90_S144	GBM63_T	13747296	12405803	14219204	0.872468178	58116	1249155802	1241467897	84582784	891936179	227253395	25589903	12105636	0	0	0	2158410	2157388	37369	0.500118	0.499882	0.068131	0.718453	0.183052	0.020613	0.009751	0.901505	0.895957	0	0.455022	0.576405	0.636644	0.693763
FACS_GBM63_T_91_S152	GBM63_T	18936434	18358310	19331170	0.949674024	10	1847352957	1835377216	26490954	1138812692	571641527	80388493	18043550	0	0	0	3269725	3297645	51917	0.497874	0.502126	0.014434	0.620479	0.311457	0.043799	0.009831	0.931936	0.925895	0	0.69519	0.352036	0.474831	0.15304
FACS_GBM63_T_92_S160	GBM63_T	11679634	8838938	12108576	0.729973368	179132	887746986	879880790	124590454	556346347	146157426	29723462	23063101	0	0	0	1302539	1313987	26047	0.497812	0.502188	0.141599	0.632297	0.16611	0.033781	0.026212	0.798408	0.791333	0	0.516982	0.594126	0.548577	0.692732
