updated_barcode	sample	matched_initial_sample	replicate	category	batch	initial_treatment	initial_survived	divided	best_rep	pass_qc_filter	pass_qc_rep_filter	matched_initital_pass	wang_sc_mes_top_50	wang_sc_pro_bottom_50	Patel_Bernstein_stemness	matched_wang_sc_mes_top_50	matched_wang_sc_pro_bottom_50	matched_Patel_Bernstein_stemness	mapped	unique	total	unique/total	gfp	PF_BASES	PF_ALIGNED_BASES	RIBOSOMAL_BASES	CODING_BASES	UTR_BASES	INTRONIC_BASES	INTERGENIC_BASES	IGNORED_READS	CORRECT_STRAND_READS	INCORRECT_STRAND_READS	NUM_R1_TRANSCRIPT_STRAND_READS	NUM_R2_TRANSCRIPT_STRAND_READS	NUM_UNEXPLAINED_READS	PCT_R1_TRANSCRIPT_STRAND_READS	PCT_R2_TRANSCRIPT_STRAND_READS	PCT_RIBOSOMAL_BASES	PCT_CODING_BASES	PCT_UTR_BASES	PCT_INTRONIC_BASES	PCT_INTERGENIC_BASES	PCT_MRNA_BASES	PCT_USABLE_BASES	PCT_CORRECT_STRAND_READS	MEDIAN_CV_COVERAGE	MEDIAN_5PRIME_BIAS	MEDIAN_3PRIME_BIAS	MEDIAN_5PRIME_TO_3PRIME_BIAS
B10_071221_M059K_S166_L003	B10_071221_M059K_S166_L003	NA	NA	I	1	U	N	NA	-	Y	Y	NA	0.311149546	-0.026651255	-0.019954077	NA	NA	NA	412085	394752	1947324	0.202715111	0	39681290	38982059	80640	1362042	1788123	19090593	16660661	0	0	0	6221	6108	267	0.504583	0.495417	0.002069	0.03494	0.04587	0.489728	0.427393	0.080811	0.079387	0	2.018238	0	0.081901	0
B10_100621_HeLa_S291_L003	B10_100621_HeLa_S291_L003	NA	NA	HeLa	12	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	3420	2925	405662	0.007210436	4	289732	283895	26819	31602	20649	117575	87250	0	0	0	112	100	4	0.528302	0.471698	0.094468	0.111316	0.072735	0.41415	0.307332	0.18405	0.180343	0	0.997924	0	0	0
B10_131221_M059K_S179_L003	B10_131221_M059K_S179_L003	NA	NA	I	2	U	Y	N	-	Y	Y	NA	-0.112342644	-0.375268972	0.018335411	NA	NA	NA	377120	352243	1792846	0.19647142	12	35480036	34991188	496505	13725322	7713162	8026804	5029395	0	0	0	40813	40542	1597	0.501666	0.498334	0.014189	0.392251	0.220432	0.229395	0.143733	0.612682	0.604241	0	1.432738	0	0.78079	0
B10_160222_HeLa_S266_L003	B10_160222_HeLa_S266_L003	NA	NA	HeLa	9	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	1683088	1497444	8996352	0.166450134	4	150762562	148018970	10709692	30225462	10069815	58854451	38159550	0	0	0	74900	72269	402	0.508939	0.491061	0.072354	0.2042	0.068031	0.397614	0.257802	0.27223	0.267276	0	1.910754	0	0.769827	0
B10_161121_M059K_S58_L003	B10_161121_M059K_S58_L003	NA	NA	I	5	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	9235089	8747822	13759948	0.63574528	0	877823475	858769976	38754	15144154	30476374	445066761	368043933	0	0	0	94180	92271	14978	0.505119	0.494881	4.50E-05	0.017635	0.035488	0.518261	0.428571	0.053123	0.05197	0	2.734618	0	0	0
B10_180122_M059K_S202_L003	B10_180122_M059K_S202_L003	NA	NA	I	7	T	N	NA	-	Y	Y	NA	-0.039049982	-0.116283307	-0.179384189	NA	NA	NA	625598	604759	17825454	0.03392671	0	60502704	59145396	910983	441498	1522592	26361127	29909196	0	0	0	4717	4857	83	0.492689	0.507311	0.015402	0.007465	0.025743	0.4457	0.505689	0.033208	0.032463	0	1.531627	0	0.504589	0
B10_22_11_21_M059K_S79_L003	B10_22_11_21_M059K_S79_L003	NA	NA	I	6	U	N	NA	-	Y	Y	NA	0.264728138	-0.158487771	0.082746227	NA	NA	NA	12949131	10352064	38622718	0.268030437	16	1041538947	1013601212	56219	20293626	29875290	509565693	453810384	0	0	0	125781	167553	3821	0.428798	0.571202	5.50E-05	0.020021	0.029474	0.502728	0.447721	0.049496	0.048168	0	1.707751	0	0	0
B10_240122_M059K_S214_L003	B10_240122_M059K_S214_L003	NA	NA	I	8	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	109488	86554	960236	0.090138258	0	8698621	8552094	1165952	374369	336015	2274298	4401460	0	0	0	1560	1796	160	0.464839	0.535161	0.136335	0.043775	0.03929	0.265935	0.514665	0.083066	0.081666	0	1.138422	0.080115	0.153606	0
B10_291121_M059K_S109_L003	B10_291121_M059K_S109_L003	NA	NA	I	0	U	Y	Y	-	N	N	NA	NA	NA	NA	NA	NA	NA	880439	650202	2392422	0.271775632	0	65010552	63194729	62065	7588373	5538352	29938939	20067000	0	0	0	27594	27960	1419	0.496706	0.503294	0.000982	0.120079	0.087639	0.473757	0.317542	0.207719	0.201917	0	2.401447	0	0	0
B10_310122_M059K_S237_L003	B10_310122_M059K_S237_L003	NA	NA	I	10	U	Y	N	-	Y	Y	NA	0.07936173	0.167256308	-0.22254839	NA	NA	NA	201890	106384	9199006	0.011564728	0	10673667	10274602	246572	1585586	524493	5089840	2828111	0	0	0	4076	4197	47	0.492687	0.507313	0.023998	0.154321	0.051048	0.495381	0.275253	0.205368	0.19769	0	1.326646	0	0.596024	0
B10L_U_310122_M059K_S252_L003	B10L_U_310122_M059K_S252_L003	B10_310122_M059K_S237_L003	NA	L_U	10	U	Y	N	-	N	N	Y	NA	NA	NA	0.07936173	0.167256308	-0.22254839	1646141	1423510	10273678	0.138558946	0	143195587	141517685	55438453	22281627	3669664	34153671	25974270	0	0	0	62071	62227	2729	0.499372	0.500628	0.391742	0.157448	0.025931	0.241339	0.183541	0.183378	0.18123	0	1.107714	0.008889	0.582272	0
B10L1_U_291121_M059K_S122_L003	B10L1_291121_M059K_S122_L003	B10_291121_M059K_S109_L003	NA	L_U	0	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	3160	2646	215648	0.012269996	0	265253	258287	12447	29135	14539	120567	81599	0	0	0	92	102	6	0.474227	0.525773	0.048191	0.112801	0.05629	0.466795	0.315924	0.169091	0.16465	0	0.991969	0	0.492701	0
B10L2_U_291121_M059K_S123_L003	B10L2_291121_M059K_S123_L003	B10_291121_M059K_S109_L003	NA	L_U	0	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	5943	5173	188936	0.027379642	0	518777	506378	7831	27569	32465	287654	150859	0	0	0	150	146	16	0.506757	0.493243	0.015465	0.054444	0.064112	0.568062	0.297918	0.118556	0.115722	0	1.018467	0.075975	0.56689	0.048193
B10L3_U_291121_M059K_S124_L003	B10L3_291121_M059K_S124_L003	B10_291121_M059K_S109_L003	NA	L_U	0	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	16281	13074	355662	0.03675962	0	1310435	1272598	5679	107004	90683	605504	463728	0	0	0	415	324	15	0.56157	0.43843	0.004463	0.084083	0.071258	0.475801	0.364395	0.155341	0.150856	0	1.165673	0.320187	0.280863	0
B10L4_U_291121_M059K_S125_L003	B10L4_291121_M059K_S125_L003	B10_291121_M059K_S109_L003	NA	L_U	0	U	Y	Y	-	N	N	N	NA	NA	NA	NA	NA	NA	5627	1130	167170	0.006759586	0	112405	109833	5202	20453	10883	37120	36175	0	0	0	61	55	0	0.525862	0.474138	0.047363	0.186219	0.099087	0.337968	0.329364	0.285306	0.278778	0	0.95788	0	0.770117	0
B10LV1_T_061221_M059K_S304_L003	B10LV1_061221_M059K_S304_L003	B10_061221_M059K_S151_L003	2	L_T	1	T	Y	N	Y	Y	Y	Y	0.074803947	0.151559508	0.197269954	0.131259653	0.150200665	-0.243696633	252453	235709	947186	0.248851862	6	23508444	23024625	179134	3569763	3136564	9080489	7058675	0	0	0	12379	12522	463	0.497129	0.502871	0.00778	0.155041	0.136226	0.394382	0.306571	0.291268	0.285273	0	1.735675	0	1.184398	0
B10LV1_U_131221_M059K_S305_L003	B10LV1_131221_M059K_S305_L003	B10_131221_M059K_S179_L003	3	L_U	2	U	Y	N	N	Y	N	Y	NA	NA	NA	-0.112342644	-0.375268972	0.018335411	1212789	1027871	3337930	0.307936655	484	103257508	102459963	6082541	65567071	19976883	7533105	3300363	0	0	0	164398	166160	2380	0.497335	0.502665	0.059365	0.639929	0.194973	0.073522	0.032211	0.834901	0.828453	0	0.738051	0.395214	0.471071	0.016054
B10LV2_T_061221_M059K_S154_L003	B10LV2_061221_M059K_S154_L003	B10_061221_M059K_S151_L003	2	L_T	1	T	Y	N	N	Y	N	Y	NA	NA	NA	0.131259653	0.150200665	-0.243696633	96974	91238	657972	0.138665475	2	9147580	8984527	61809	992067	547282	3963090	3420279	0	0	0	3071	3135	93	0.494844	0.505156	0.006879	0.11042	0.060914	0.441102	0.380685	0.171333	0.168279	0	1.487245	0	0.281053	0
B10LV2_U_131221_M059K_S168_L003	B10LV2_131221_M059K_S168_L003	B10_131221_M059K_S179_L003	3	L_U	2	U	Y	N	Y	Y	Y	Y	-0.164955821	-0.164294181	0.081467767	-0.112342644	-0.375268972	0.018335411	2907034	2589450	4201168	0.616364306	60	260833171	258217362	6152784	140073743	59282720	32759572	19948543	0	0	0	369850	369370	6986	0.500325	0.499675	0.023828	0.542464	0.229585	0.126868	0.077255	0.772049	0.764306	0	1.320046	0	0.636002	0
B11_061221_M059K_S156_L003	B11_061221_M059K_S156_L003	NA	NA	I	1	T	N	NA	-	Y	Y	NA	0.091339372	0.032468325	-0.202522459	NA	NA	NA	95417	91432	782482	0.116848694	0	9178572	8988024	48605	482352	413004	4254232	3789831	0	0	0	1587	1557	194	0.504771	0.495229	0.005408	0.053666	0.04595	0.473322	0.421653	0.099617	0.097549	0	1.692048	0	0.267491	0
B11_100621_HeLa_S292_L003	B11_100621_HeLa_S292_L003	NA	NA	HeLa	12	NA	NA	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	3024	2325	502640	0.004625577	0	225411	219379	21566	46214	28734	74331	48534	0	0	0	147	119	4	0.552632	0.447368	0.098305	0.210658	0.130979	0.338825	0.221234	0.341637	0.332495	0	1.347141	0	1.7018	0
B11_131221_M059K_S180_L003	B11_131221_M059K_S180_L003	NA	NA	I	2	U	Y	N	-	Y	Y	NA	-0.258790366	-0.136526905	-0.078450516	NA	NA	NA	317524	285054	3054646	0.093318178	2	28732855	28428659	1122742	16844011	7359653	2244840	857413	0	0	0	45454	45820	933	0.497995	0.502005	0.039493	0.592501	0.258881	0.078964	0.03016	0.851383	0.842369	0	1.083348	0	0.704713	0
B11_161121_M059K_S59_L003	B11_161121_M059K_S59_L003	NA	NA	I	5	U	Y	Y	-	Y	Y	NA	0.015604636	-0.047295803	-0.091917116	NA	NA	NA	742410	699663	2703982	0.258752832	0	70417086	68665602	31602	940693	2433513	37562122	27697672	0	0	0	7384	7333	920	0.501733	0.498267	0.00046	0.0137	0.03544	0.54703	0.40337	0.04914	0.047917	0	2.265333	0	0	0
B11_22_11_21_M059K_S80_L003	B11_22_11_21_M059K_S80_L003	NA	NA	I	6	U	Y	Y	-	Y	Y	NA	-0.160875364	-0.357418895	0.134285864	NA	NA	NA	12304310	11366646	32065758	0.354479255	0	1143113198	1109385781	32124	38881922	61008862	580737207	428725666	0	0	0	223603	208217	27565	0.517815	0.482185	2.90E-05	0.035048	0.054993	0.523476	0.386453	0.090042	0.087385	0	2.46605	0	0	0
B11_240122_M059K_S215_L003	B11_240122_M059K_S215_L003	NA	NA	I	8	T	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	3739835	3280072	11000326	0.298179527	22	328852343	322917442	47384634	129514435	44218000	57578011	44222362	0	0	0	377617	361482	4489	0.510915	0.489085	0.146739	0.401076	0.136933	0.178306	0.136946	0.538009	0.528299	0	1.019736	0.232627	0.562191	0
B11_291121_M059K_S110_L003	B11_291121_M059K_S110_L003	NA	NA	I	0	T	Y	N	-	N	N	NA	NA	NA	NA	NA	NA	NA	5277	4844	362390	0.013366815	0	485498	471700	5013	17235	18839	239019	191594	0	0	0	81	72	5	0.529412	0.470588	0.010628	0.036538	0.039939	0.506718	0.406178	0.076477	0.074303	0	1.393526	0	0.152332	0
B11_310122_M059K_S238_L003	B11_310122_M059K_S238_L003	NA	NA	I	10	U	N	NA	-	N	N	NA	NA	NA	NA	NA	NA	NA	4408676	3877376	27421178	0.141400782	0	389868578	385359608	66575488	130229054	35127315	86116202	67311549	0	0	0	281617	279342	57551	0.502028	0.497972	0.172762	0.337942	0.091155	0.22347	0.174672	0.429096	0.424134	0	1.534899	0	0.476363	0
B11L1_U_161121_M059K_S63_L003	B11L1_161121_M059K_S63_L003	B11_161121_M059K_S59_L003	5	L_U	5	U	Y	Y	Y	Y	Y	Y	0.17444667	0.19363853	-0.184916231	0.015604636	-0.047295803	-0.091917116	204932	193172	417644	0.462527895	8	19373712	18966684	27318	405363	747206	8959113	8827684	0	0	0	2185	2268	214	0.49068	0.50932	0.00144	0.021372	0.039396	0.472361	0.465431	0.060768	0.059491	0	1.549587	0	0	0
B11L1_U_22_11_21_M059K_S84_L003	B11L1_22_11_21_M059K_S84_L003	B11_22_11_21_M059K_S80_L003	NA	L_U	6	U	Y	Y	-	N	N	Y	NA	NA	NA	-0.160875364	-0.357418895	0.134285864	4060935	2645696	23249534	0.113795657	0	266095319	261630215	3345211	19531126	5832913	140893918	92027047	0	0	0	67928	65805	8251	0.507937	0.492063	0.012786	0.074652	0.022294	0.538523	0.351745	0.096946	0.095319	0	2.14078	0	0	0
B11L1_T_291121_M059K_S121_L003	B11L1_291121_M059K_S121_L003	B11_291121_M059K_S110_L003	NA	L_T	5	T	Y	N	-	Y	Y	N	-0.227165154	0.047176249	-0.246603553	NA	NA	NA	36703	26619	383248	0.069456331	0	2656634	2593466	81783	489669	317351	908384	796279	0	0	0	1706	1789	68	0.488126	0.511874	0.031534	0.188809	0.122366	0.350259	0.307033	0.311174	0.303775	0	1.196587	0.123871	0.253898	0
B11L1V_2_U_161121_M059K_S294_L003	B11L1V_2_161121_M059K_S294_L003	B11_161121_M059K_S59_L003	5	L_U	5	U	Y	Y	N	Y	N	Y	NA	NA	NA	0.015604636	-0.047295803	-0.091917116	429798	336575	1089652	0.30888302	0	33622918	32882372	727548	313859	1025410	14996993	15818562	0	0	0	2915	2915	231	0.5	0.5	0.022126	0.009545	0.031184	0.45608	0.481065	0.040729	0.039832	0	2.309389	0	0	0
B11L2_U_161121_M059K_S64_L003	B11L2_161121_M059K_S64_L003	B11_161121_M059K_S59_L003	NA	L_U	6	U	Y	Y	-	N	N	Y	NA	NA	NA	1.56E-02	-0.047295803	-0.091917116	1228188	1118728	4853540	0.230497328	0	111938048	109250870	878005	5200122	4839155	48790304	49543284	0	0	0	19231	18707	1404	0.506906	0.493094	0.008037	0.047598	0.044294	0.44659	0.453482	0.091892	0.089686	0	2.666068	0	0	0
B11L2_U_22_11_21_M059K_S85_L003	B11L2_22_11_21_M059K_S85_L003	B11_22_11_21_M059K_S80_L003	NA	L_U	5	U	Y	Y	-	Y	Y	Y	-0.193431324	0.28901759	-0.239932609	-0.160875364	-0.357418895	0.134285864	3011149	2744419	13662906	0.200866419	0	276265494	270260860	868829	7037876	13889428	134500116	113964611	0	0	0	45829	48606	7705	0.485297	0.514703	0.003215	0.026041	0.051393	0.497668	0.421684	0.077434	0.075751	0	2.351554	0	0	0
B11L3_U_161121_M059K_S65_L003	B11L3_161121_M059K_S65_L003	B11_161121_M059K_S59_L003	NA	L_U	6	U	Y	Y	-	N	N	Y	NA	NA	NA	0.015604636	-0.047295803	-0.091917116	2327119	2163154	4115658	0.525591291	0	217534610	213355437	236809	2780381	5500582	103445651	101392014	0	0	0	18699	17891	3195	0.511041	0.488959	0.00111	0.013032	0.025781	0.484851	0.475226	0.038813	0.038067	0	2.649044	0	0	0
